"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Example",120,7611,4308,3801,0.882311977715877
"Example",121,7611,5176,4309,0.832496136012365
"Example",122,7611,5320,4292,0.806766917293233
"Example",123,7611,5014,4842,0.96569605105704
"Example",124,7611,4316,3886,0.900370713623726
"Example",125,7611,4891,4458,0.911470047025148
"Example",126,7611,5468,4585,0.838514996342355
"Example",127,7611,6049,5846,0.966440734005621
"Example",128,7611,5763,5049,0.876106194690266
"Example",129,7611,6254,4126,0.65973776782859
"Example",130,7611,5422,5246,0.967539653264478
"Example",131,7611,4323,3967,0.9176497802452
"Example",132,7611,4432,4022,0.907490974729242
"Example",133,7611,5114,4986,0.974970668752444
"Example",134,7611,4683,4480,0.956651718983557
"Example",135,7611,5113,4940,0.966164678271074
"Example",136,7611,4577,4149,0.90648896657199
"Example",137,7611,5997,5478,0.913456728364182
"Example",138,7611,4017,3809,0.948220064724919
"Example",139,7611,5552,5005,0.901476945244957
"Example",140,7611,5760,5284,0.917361111111111
"Example",141,7611,5006,4528,0.904514582500999
"Example",142,7611,5728,5504,0.960893854748603
"Example",143,7611,5932,5631,0.94925826028321
"Example",144,7611,6042,5567,0.921383647798742
"Example",145,7611,5715,4982,0.871741032370954
"Example",146,7611,4221,3964,0.939113954039327
"Example",147,7611,5099,4671,0.91606197293587
"Example",148,7611,5647,5005,0.886311315742872
"Example",149,7611,5082,4447,0.875049193231011
"Example",150,7611,6531,6216,0.951768488745981
"Example",151,7611,5879,5723,0.973464874978738
"Example",152,7611,4524,4225,0.933908045977011
"Example",153,7611,6056,5734,0.946829590488771
"Example",154,7611,5426,5190,0.956505713232584
"Example",155,7611,4134,3914,0.946782776971456
"Example",156,7611,5567,5351,0.961199928148015
"Example",157,7611,2758,2625,0.951776649746193
"Example",158,7611,6481,5973,0.92161703440827
"Example",159,7611,5095,4868,0.955446516192345
"Example",160,7611,5054,4775,0.944796201028888
"Example",161,7611,3276,2789,0.851343101343101
"Example",162,7611,5852,5142,0.878673957621326
"Example",163,7611,5967,5000,0.837942014412603
"Example",164,7611,3901,3755,0.962573699051525
"Example",165,7611,6078,5846,0.961829549193814
"Example",166,7611,5470,5048,0.922851919561243
"Example",167,7611,5751,4871,0.84698313336811
"Example",168,7611,3463,3102,0.89575512561363
"Example",169,7611,5806,5482,0.944195659662418
"Example",170,7611,5798,5585,0.963263194204898
"Example",171,7611,4165,3905,0.937575030012005
"Example",172,7611,5736,5270,0.918758716875872
"Example",173,7611,5684,5407,0.951266713581985
"Example",174,7611,5826,5442,0.934088568486097
"Example",175,7611,4887,4298,0.879476161244117
"Example",176,7611,5149,4806,0.933385123324917
"Example",177,7611,4758,4210,0.884825556956705
"Example",178,7611,4997,4744,0.949369621773064
"Example",179,7611,4653,3931,0.844831291639802
"Example",180,7611,5611,5196,0.926038139369096
"Example",181,7611,5297,4934,0.931470643760619
"Example",182,7611,5649,4814,0.852186227650912
"Example",183,7611,3619,3232,0.893064382426085
"Example",184,7611,5241,4655,0.888189276855562
"Example",185,7611,5527,4959,0.897231771304505
"Example",186,7611,5469,5025,0.91881513987932
"Example",187,7611,4742,4609,0.971952762547448
"Example",188,7611,3534,3213,0.909168081494058
"Example",189,7611,4211,3987,0.946805984326763
"Example",190,7611,4782,4398,0.91969887076537
"Example",191,7611,5001,4818,0.963407318536293
"Example",192,7611,4581,4459,0.973368260205195
"Example",193,7611,4818,4412,0.915732669157327
"Example",194,7611,5015,4720,0.941176470588235
"Example",195,7611,5834,5307,0.909667466575249
"Example",196,7611,5338,5090,0.953540651929562
"Example",197,7611,4703,4312,0.916861577716351
"Example",198,7611,4444,3733,0.84000900090009
"Example",199,7611,5049,4859,0.962368785898198
"Example",200,7611,4355,4117,0.945350172215844
"Example",201,7611,4933,4735,0.959862152848165
"Example",202,7611,3621,3474,0.95940347970174
"Example",203,7611,4377,4292,0.980580306145762
"Example",204,7611,5675,5348,0.942378854625551
"Example",205,7611,5793,5633,0.972380459174866
"Example",206,7611,4584,4274,0.932373472949389
"Example",207,7611,4792,4389,0.915901502504174
"Example",208,7611,4821,4157,0.862269238747148
"Example",209,7611,5358,4530,0.845464725643897
"Example",210,7611,5980,5200,0.869565217391304
"Example",211,7611,3791,3593,0.947771036665787
"Example",212,7611,4929,3797,0.770338811117874
"Example",213,7611,5243,4794,0.914362006484837
"Example",214,7611,5485,5371,0.979216043755697
"Example",215,7611,4823,4035,0.836616213974705
"Example",216,7611,5426,4985,0.918724659049023
"Example",217,7611,4660,4233,0.908369098712446
"Example",218,7611,5243,4801,0.915697119969483
"Example",219,7611,4902,4645,0.947572419420645
"Example",220,7611,5762,5274,0.915307185005207
"Example",221,7611,5360,5023,0.937126865671642
"Example",222,7611,4901,4574,0.933278922668843
"Example",223,7611,5518,4443,0.805183037332367
"Example",224,7611,6155,5292,0.85978878960195
"Example",225,7611,3907,3589,0.918607627335552
"Example",226,7611,5409,5268,0.973932334997227
"Example",227,7611,4806,4512,0.938826466916355
"Example",228,7611,5255,4969,0.945575642245481
"Example",229,7611,4424,4110,0.929023508137432
"Example",230,7611,5900,5402,0.915593220338983
"Example",231,7611,3380,3178,0.940236686390533
"Example",232,7611,4439,4247,0.956747015093489
"Example",233,7611,6255,5571,0.890647482014388
"Example",234,7611,5491,4961,0.90347841923147
"Example",235,7611,4409,3654,0.828759355863008
"Example",236,7611,3312,2921,0.881944444444444
"Example",237,7611,6022,5549,0.921454666223846
"Example",238,7611,5628,5418,0.962686567164179
"Example",239,7611,6363,6078,0.955209806694955
"Example",240,7611,5014,4529,0.903270841643398
"Example",241,7611,5300,4801,0.905849056603774
"Example",242,7611,5400,4716,0.873333333333333
"Example",243,7611,4757,4242,0.891738490645365
"Example",244,7611,4313,3643,0.84465569209367
"Example",245,7611,5580,5090,0.912186379928315
"Example",246,7611,6481,4989,0.769788612868385
"Example",247,7611,5859,5398,0.92131763099505
"Example",248,7611,6000,5171,0.861833333333333
"Example",249,7611,5114,4658,0.910833007430583
"Example",250,7611,5923,5756,0.971804828634138
"Example",251,7611,5202,4313,0.829104190695886
"Example",252,7611,6217,5837,0.93887727199614
"Example",253,7611,4677,4310,0.921530895873423
"Example",254,7611,4655,4209,0.904189044038668
"Example",255,7611,4240,3873,0.913443396226415
"Example",256,7611,5186,4761,0.918048592364057
"Example",257,7611,4955,4851,0.979011099899092
"Example",258,7611,4435,3953,0.891319052987599
"Example",259,7611,5848,4839,0.827462380300958
"Example",260,7611,5580,5149,0.922759856630824
"Example",261,7611,5200,4934,0.948846153846154
"Example",262,7611,4888,4547,0.930237315875614
"Example",263,7611,5294,4668,0.881752927842841
