"pop_name","sim","init_total_age1plus","init_vulnerable_ageplus","init_adults_ageplus","adult_frac_within_vulnerable"
"Suwannee",106,10975,3206,2835,0.884279475982533
"Suwannee",107,10975,3777,3330,0.881652104845115
"Suwannee",108,10975,4363,4088,0.93696997478799
"Suwannee",109,10975,5105,4718,0.924191968658178
"Suwannee",110,10975,5087,4927,0.968547277373698
"Suwannee",111,10975,6020,3845,0.638704318936877
"Suwannee",112,10975,6204,5446,0.877820760799484
"Suwannee",113,10975,6452,5688,0.881587104773714
"Suwannee",114,10975,5983,5533,0.924786896205917
"Suwannee",115,10975,5660,4993,0.882155477031802
"Suwannee",116,10975,3833,3447,0.89929559092095
"Suwannee",117,10975,3275,2951,0.901068702290076
"Suwannee",118,10975,6861,5816,0.84768984113103
"Suwannee",119,10975,6321,4807,0.760480936560671
"Suwannee",120,10975,5868,5529,0.942229038854806
"Suwannee",121,10975,5046,4005,0.793697978596908
"Suwannee",122,10975,3615,3397,0.93969571230982
"Suwannee",123,10975,5406,3945,0.729744728079911
"Suwannee",124,10975,2780,2502,0.9
"Suwannee",125,10975,6366,5777,0.907477222745837
"Suwannee",126,10975,6100,5369,0.88016393442623
"Suwannee",127,10975,5362,4804,0.895934352853413
"Suwannee",128,10975,5335,5106,0.957075913776945
"Suwannee",129,10975,5555,4579,0.824302430243024
"Suwannee",130,10975,6118,4387,0.717064400130762
"Suwannee",131,10975,4439,3812,0.858751971164677
"Suwannee",132,10975,5808,5206,0.896349862258953
"Suwannee",133,10975,3398,2936,0.864037669217187
"Suwannee",134,10975,2485,2219,0.892957746478873
"Suwannee",135,10975,4050,3641,0.899012345679012
"Suwannee",136,10975,6875,5744,0.835490909090909
"Suwannee",137,10975,5904,4986,0.844512195121951
"Suwannee",138,10975,3387,2769,0.817537643932684
"Suwannee",139,10975,5303,4361,0.822364699226853
"Suwannee",140,10975,5366,5022,0.935892657472978
"Suwannee",141,10975,4439,3778,0.851092588420815
"Suwannee",142,10975,4447,4099,0.92174499662694
"Suwannee",143,10975,5036,4341,0.861993645750596
"Suwannee",144,10975,4445,3673,0.826321709786277
"Suwannee",145,10975,5249,3631,0.691750809678034
"Suwannee",146,10975,4110,3696,0.899270072992701
"Suwannee",147,10975,5693,5227,0.918145090461971
"Suwannee",148,10975,2679,2492,0.930197835013065
"Suwannee",149,10975,4195,3359,0.800715137067938
"Suwannee",150,10975,2464,2034,0.825487012987013
"Suwannee",151,10975,5961,5236,0.878376111390706
"Suwannee",152,10975,3475,2955,0.850359712230216
"Suwannee",153,10975,3762,3116,0.828282828282828
"Suwannee",154,10975,4206,3621,0.860912981455064
"Suwannee",155,10975,5070,4732,0.933333333333333
"Suwannee",156,10975,4986,4670,0.936622543120738
"Suwannee",157,10975,5486,4977,0.907218374043019
"Suwannee",158,10975,5369,4265,0.794375116409015
"Suwannee",159,10975,7153,5886,0.822871522438138
"Suwannee",160,10975,5663,4846,0.855730178350698
"Suwannee",161,10975,4843,4298,0.88746644641751
"Suwannee",162,10975,4732,3603,0.761411665257819
"Suwannee",163,10975,4109,3854,0.937941104891701
"Suwannee",164,10975,6273,5334,0.850310856049737
"Suwannee",165,10975,4022,3491,0.867976131277971
"Suwannee",166,10975,4979,4472,0.898172323759791
"Suwannee",167,10975,3978,3644,0.916038210155857
"Suwannee",168,10975,5375,4155,0.773023255813953
"Suwannee",169,10975,4642,3543,0.763248599741491
"Suwannee",170,10975,5873,5121,0.871956410693002
"Suwannee",171,10975,5640,5320,0.943262411347518
"Suwannee",172,10975,3269,2956,0.904252064851637
"Suwannee",173,10975,6068,5745,0.94676994067238
"Suwannee",174,10975,8029,6429,0.800722381367543
"Suwannee",175,10975,4767,4532,0.950702748059576
"Suwannee",176,10975,5816,5040,0.866574965612105
"Suwannee",177,10975,5467,5111,0.934882019389062
"Suwannee",178,10975,5519,4519,0.818807755028085
"Suwannee",179,10975,7516,7143,0.950372538584353
"Suwannee",180,10975,6212,5456,0.8783000643915
"Suwannee",181,10975,5037,4210,0.835814969227715
"Suwannee",182,10975,6065,5516,0.909480626545754
